omics,Freq
proteomics,949
genomics,737
metabolomics,360
ergonomics,218
economics,175
pharmacogenomics,145
transcriptomics,88
metagenomics,73
metabonomics,59
phosphoproteomics,48
lipidomics,38
epigenomics,23
phylogenomics,22
toxicogenomics,22
pharmacoeconomics,20
nutrigenomics,18
glycomics,17
-omics,15
venomics,15
metatranscriptomics,13
peptidomics,13
neuroeconomics,12
connectomics,11
metaproteomics,11
foodomics,10
glycoproteomics,10
immunoproteomics,10
metallomics,10
bionomics,8
chemogenomics,8
pathogenomics,8
proteogenomics,7
interactomics,6
neuroproteomics,5
oncogenomics,5
phenomics,5
antivenomics,4
chemoproteomics,4
comics,4
multi-omics,4
n-terminomics,4
postgenomics,4
post-genomics,4
culturomics,3
degradomics,3
immunogenomics,3
metalloproteomics,3
mitogenomics,3
nanoproteomics,3
neuroergonomics,3
o-glycomics,3
phospholipidomics,3
secretomics,3
complexomics,2
ecotoxicogenomics,2
exposomics,2
fluxomics,2
fucanomics,2
galactanomics,2
immunomics,2
macroeconomics,2
morphoproteomics,2
neuropeptidomics,2
n-glycoproteomics,2
pharmaco-metabolomics,2
pharma-metabolomics,2
polyatomics,2
radiomics,2
socioeconomics,2
adaptomics,1
adductomics,1
agrigenomics,1
agronomics,1
albuminomics,1
amyloidomics,1
apoptoproteomics,1
aquaphotomics,1
archeogenomics,1
arsenomics,1
autonomics,1
ayurgenomics,1
badomics,1
biofomics,1
cellomics,1
centrosomics,1
chemometabolomics,1
chinmedomics,1
cholanomics,1
chromosomics,1
chronomics,1
circadiomics,1
circomics,1
cognitive-ergonomics,1
comparative-omics,1
crossomics,1
cytokinomics,1
cytomics,1
diatomics,1
ecogenomics,1
ecomics,1
ecosystomics,1
ecotoxicoproteomics,1
embryogenomics,1
exoproteomics,1
fermentonomics,1
fluxolipidomics,1
from-omics,1
genoeconomics,1
genomics-proteomics,1
genomics-proteomics-metabolomics,1
glycolipidomics,1
health-economics,1
humeomics,1
inflammasomics,1
isoprenomics,1
kinomics,1
macroergonomics,1
medulloblastomics,1
metamobilomics,1
meta-omics,1
meta-transcriptomics,1
methylomics,1
microbiomics,1
mitoproteomics,1
modomics,1
morphomics,1
multiomics,1
multiple-omics,1
narcissomics,1
needle-acupointomics,1
newt-omics,1
nmr-metabolomics,1
noiseonomics,1
nutriproteomics,1
nutritrailomics,1
obesidomics,1
o-glycoproteomics,1
oncoepigenomics,1
oncoproteomics,1
oncosecretomics,1
orthogenomics,1
orthoproteomics,1
paleogenomics,1
pangenomics,1
pan-genomics,1
pharmacometabolomics,1
pharmacometabonomics,1
pharmacomicrobiomics,1
pharmacomics,1
pharmacoproteomics,1
phospho-proteomics,1
phylotranscriptomics,1
physionomics,1
plantmetabolomics,1
probiogenomics,1
proteo-metabolomics,1
-proteomics,1
radiogenomics,1
reactomics,1
redox-proteomics,1
rehabilomics,1
rnomics,1
salivaomics,1
selenometabolomics,1
sensomics,1
separomics,1
sexonomics,1
skinomics,1
socio-economics,1
spain-cocomics,1
sportomics,1
studies--ergonomics,1
subpopulation-proteomics,1
subproteomics,1
tanscriptomics,1
toxicoproteomics,1
transgenomics,1
trans-omics,1
transplantation--economics,1
transportomics,1
trnaomics,1
wussinomics,1
