omics,Freq
proteomics,543
genomics,387
metabolomics,211
pharmacogenomics,90
economics,83
transcriptomics,47
ergonomics,41
lipidomics,32
metagenomics,30
phosphoproteomics,25
metabonomics,24
epigenomics,20
phylogenomics,16
glycomics,14
peptidomics,12
glycoproteomics,11
metallomics,11
nutrigenomics,11
connectomics,9
metaproteomics,8
immunoproteomics,7
chemogenomics,6
metatranscriptomics,6
pharmacoeconomics,6
proteogenomics,6
toxicogenomics,6
phenomics,4
phospholipidomics,4
venomics,4
comics,3
culturomics,3
fluxomics,3
nanoproteomics,3
agrigenomics,2
antivenomics,2
bionomics,2
fermentanomics,2
foodomics,2
lifeomics,2
metronomics,2
mitogenomics,2
neuroeconomics,2
neurogenomics,2
neuroproteomics,2
pharmaeconomics,2
toxicoproteomics,2
aquaphotomics,1
biointeractomics,1
calciomics,1
cholanomics,1
cytogenomics,1
cytokinomics,1
econogenomics,1
glcnacomics,1
glycosaminoglycanomics,1
interactomics,1
ionomics,1
macroeconomics,1
materiomics,1
metalloproteomics,1
metaproteogenomics,1
microbiomics,1
microeconomics,1
microgenomics,1
microproteomics,1
miromics,1
mitoproteomics,1
mobilomics,1
modomics,1
morphomics,1
museomics,1
neuromics,1
neuropeptidomics,1
nitroproteomics,1
nutrimetabonomics,1
oncogenomics,1
orthoproteomics,1
pangenomics,1
petroleomics,1
pharmacometabolomics,1
pharmacoproteomics,1
phylotranscriptomics,1
phytomics,1
postgenomics,1
pyteomics,1
radiogenomics,1
rehabilomics,1
retrophylogenomics,1
romics,1
secretomics,1
sensomics,1
speleogenomics,1
surfaceomics,1
surfomics,1
toxicometabolomics,1
vaccinomics,1
variomics,1
