journal,count,total
ACS Appl Mater Interfaces,25,40777
ACS Omega,11,11744
Acta Anaesthesiol Scand,16,8917
Acta Biomater,11,7574
Acta Crystallogr Sect E Struct Rep Online,40,23618
Am J Cancer Res,24,2008
Am J Physiol Heart Circ Physiol,11,10970
Am J Respir Cell Mol Biol,12,6340
Am J Respir Crit Care Med,11,17266
Am J Transl Res,13,4401
Anaesthesia,20,106897
Anat Rec (Hoboken),21,3072
Anesth Analg,80,26475
Anesthesiology,16,223638
Angew Chem Int Ed Engl,10,48141
Ann Thorac Surg,14,38429
Anticancer Res,15,23162
Arterioscler Thromb Vasc Biol,10,9839
Artif Cells Nanomed Biotechnol,56,2007
Biochem Biophys Res Commun,45,90675
Biochem J,14,56209
Biochemistry,15,717328
Biochim Biophys Acta,11,98346
Biol Psychiatry,10,12903
Biomed Pharmacother,13,11874
Biomed Res Int,47,21298
Bioresour Technol,15,23936
Biosci Rep,62,5370
Biosens Bioelectron,14,13188
Blood,42,4041106
Br J Anaesth,43,19983
Br J Pharmacol,11,25050
Brain Res,10,60657
Braz J Med Biol Res,17,6861
Can J Anaesth,39,8685
Cancer Biother Radiopharm,17,2066
Cancer Cell Int,20,2672
Cancer Gene Ther,12,2402
Cancer Lett,14,14865
Cancer Manag Res,42,3967
Cancer Res,65,56321
Cancer Sci,12,5498
Carcinogenesis,16,118982
Cell,39,5049412
Cell Cycle,19,243595
Cell Death Dis,17,7355
Cell Metab,10,3263
Cell Physiol Biochem,27,5817
Chem Commun (Camb),16,49240
Chemosphere,14,30025
Chest,10,264260
Circ Res,26,18267
Circulation,19,373291
Clin Cancer Res,23,19488
Clin Oral Implants Res,15,3812
Clin Ther,17,6803
Cureus,24,18125
Diabetes,31,762013
Diagn Pathol,39,2047
DNA Cell Biol,14,3586
Drug Des Devel Ther,10,3380
EMBO J,25,20327
Environ Monit Assess,10,12497
Eur J Anaesthesiol,31,5288
Eur J Med Res,21,2222
Eur Rev Med Pharmacol Sci,229,9857
Evid Based Complement Alternat Med,23,10263
Exp Cell Res,12,22931
Exp Ther Med,39,10797
FASEB J,19,14408
FEBS Lett,18,50508
Front Oncol,19,11657
Genet Mol Res,23,7546
Gut,10,134177
Hypertension,10,551266
Immunopharmacol Immunotoxicol,22,2103
Indian J Dermatol,10,3217
Infect Immun,19,32155
Innov Pharm,10,279
Int J Cancer,29,25717
Int J Cardiol,11,28195
Int J Clin Exp Med,19,4106
Int J Clin Exp Pathol,25,6218
Int J Immunopathol Pharmacol,16,2157
Int J Mol Med,17,7694
Int J Mol Sci,14,43477
Int J Nanomedicine,12,6313
Int J Oncol,16,10937
Int J Syst Evol Microbiol,12,12189
Intensive Care Med,10,11706
Iran Red Crescent Med J,10,1425
J Am Chem Soc,33,65779
J Am Coll Cardiol,10,27808
J Anesth,14,3944
J Bacteriol,15,53596
J Biol Chem,358,183194
J BUON,18,3741
J Cardiothorac Vasc Anesth,11,8671
J Cell Biochem,168,12542
J Cell Biol,10,22889
J Cell Mol Med,14,6737
J Cell Physiol,71,16528
J Cell Sci,20,16401
J Clin Endocrinol Metab,11,36647
J Clin Invest,48,32309
J Clin Microbiol,10,31168
J Clin Oncol,13,25463
J Exp Clin Cancer Res,15,3884
J Exp Med,12,24186
J Gen Virol,11,15962
J Hand Surg Eur Vol,10,3249
J Hazard Mater,17,23170
J Immunol,51,67256
J Int Med Res,10,8148
J Lipid Res,12,11338
J Neurochem,20,27283
J Neurosci,25,38651
J Orthop Surg Res,18,3115
J Pers Soc Psychol,16,6611
J Pharmacol Exp Ther,15,29597
J Surg Res,10,15997
J Virol,28,47622
JAMA,10,114340
Lancet,23,181220
Langmuir,10,51947
Leuk Lymphoma,12,12332
Life Sci,20,30005
Med Sci Monit,45,9982
Medicine (Baltimore),45,30094
Mol Biol Rep,33,8937
Mol Cancer,12,3846
Mol Cancer Ther,16,5358
Mol Cell,14,8815
Mol Cell Biol,38,22900
Mol Cells,18,3136
Mol Endocrinol,11,5856
Mol Med Rep,63,12563
Mol Neurobiol,19,5124
Mol Pharmacol,18,11837
Molecules,10,635558
N Engl J Med,25,82266
Nat Cell Biol,12,4816
Nat Commun,17,41388
Nat Med,13,10920
Nat Prod Res,12,7696
Nature,87,616282
Naunyn Schmiedebergs Arch Pharmacol,13,8979
Neurology,14,512496
Neuropsychiatr Dis Treat,13,3518
Neurosci Lett,10,34946
Neuroscience,14,382051
Nucleic Acids Res,16,48703
Obstet Gynecol,42,28947
Onco Targets Ther,82,6049
Oncogene,15,283177
Oncol Lett,43,13052
Oncol Rep,37,12707
Oncotarget,15,26214
Open Biomed Eng J,12,222
Org Lett,11,33928
Phys Chem Chem Phys,10,36065
Phys Rev Lett,14,92833
Phytother Res,22,5834
Plant Physiol,11,32782
PLoS One,342,254621
Proc Natl Acad Sci U S A,118,146756
Psychol Sci,12,4171
Saudi J Anaesth,18,1596
Sci Rep,92,147077
Science,97,2603038
ScientificWorldJournal,28,10071
Spectrochim Acta A Mol Biomol Spectrosc,14,17397
Stroke,11,356905
Technol Cancer Res Treat,17,2075
Tissue Eng Part A,11,3134
Transplantation,16,799049
Tumour Biol,145,7280
Yonsei Med J,12,4916
