year,total
1959,108666
1960,110314
1961,118296
1962,124221
1963,139673
1964,160445
1965,175292
1966,177434
1967,189182
1968,205846
1969,213105
1970,216810
1971,221147
1972,225243
1973,228572
1974,232306
1975,246095
1976,252220
1977,258699
1978,268671
1979,278014
1980,275958
1981,278079
1982,289721
1983,303969
1984,313084
1985,330091
1986,343760
1987,360957
1988,379243
1989,396092
1990,402772
1991,404812
1992,409163
1993,417102
1994,427051
1995,437507
1996,447486
1997,389232
1998,428374
1999,446548
2000,492014
2001,533357
2002,597951
2003,602502
2004,621728
2005,680034
2006,697387
2007,725939
2008,765492
2009,855795
2010,1062112
2011,950996
2012,951029
2013,1028160
2014,1094441
2015,1105379
2016,1154323
2017,1195690
2018,1276085
2019,1268670
2020,1468993
2021,131459
