countryPublished	retractions
UNITED STATES	991
ENGLAND	418
NETHERLANDS	90
GERMANY	48
JAPAN	45
CHINA	30
KOREA (SOUTH)	28
DENMARK	22
POLAND	22
SWITZERLAND	15
AUSTRALIA	12
INDIA	12
IRELAND	12
ITALY	12
PAKISTAN	9
FRANCE	8
GERMANY, WEST	7
CANADA	6
IRAN	6
AUSTRIA	4
NORWAY	4
SCOTLAND	4
BRAZIL	3
CHINA (REPUBLIC : 1949- )	3
CROATIA	3
CZECH REPUBLIC	3
GREECE	3
SOUTH AFRICA	3
ARGENTINA	2
CHINA (REPUBLIC: 1949- )	2
SAUDI ARABIA	2
SERBIA	2
SLOVENIA	2
SWEDEN	2
THAILAND	2
BOSNIA AND HERCEGOVINA	1
EGYPT	1
FINLAND	1
ISRAEL	1
LEBANON	1
MEXICO	1
NEW ZEALAND	1
SINGAPORE	1
SLOVAKIA	1
SRI LANKA	1
TURKEY	1
YUGOSLAVIA	1
ZIMBABWE	1
