pmid	yearPublished	monthPublished	pmidRetraction	yearRetracted	monthRetracted	retractionType
10026173	1999	Feb	19960604	2009	Dec	RetractionIn
10047653	1999	Mar	10766577	2000	Mar	RetractionIn
10066663	1999	Mar	18391189	2008	Apr	RetractionIn
10066780	1999	Mar	11905463	2001	Mar	RetractionIn
10077615	1999	Mar	15696628	2005	Jan	RetractionIn
10095977	1998	Dec	15504385	2004	Nov	RetractionIn
10095978	1998	Dec	15504385	2004	Nov	RetractionIn
10095979	1998	Dec	15504385	2004	Nov	RetractionIn
10095980	1998	Dec	15504385	2004	Nov	RetractionIn
10095981	1998	Dec	15504385	2004	Nov	RetractionIn
10195271	1999	Mar	12025810	2000	Jun	RetractionIn
10195272	1999	Mar	12025810	2000	Jun	RetractionIn
10197686	1999	Feb	10735732	2000	Feb	RetractionIn
10231134	1999	May	10400539	1999	Jul	RetractionIn
10317408			10299629			RetractionIn
10318977	1999	May	10836972	2000	Mar	RetractionIn
10335847	1999	May	12610632	2003	Feb	RetractionIn
10340474	1999	Apr	11911469	2002	Feb	RetractionIn
10357331	1999	Jun	19299812	2009	Apr	RetractionIn
10375646	1999	Jun	12591152	2003	Mar	RetractionIn
10375727	1998	May	11439911	2000	May	RetractionIn
10382079	1999	Mar	15504385	2004	Nov	RetractionIn
10390935	1999	Jun	12025810	2000	Jun	RetractionIn
10393310	1999	Jul	20124703	2010	Feb	RetractionIn
10410304	1999	Jun	10671087	1999	Dec	RetractionIn
10411496	1999	Jul	10877693	2000	Jun	RetractionIn
10439558	1999	Sep	12025810	2000	Jun	RetractionIn
10440390	1999	Jul	18698256	2008	Aug	RetractionIn
10449788	1999	Aug	19666547	2009	Aug	PartialRetractionIn
10453151	1999	Aug	11023382	1999	Dec	RetractionIn
10453744	1999	Jun	10576992	1999	Oct	RetractionIn
10459014	1999	Aug	15824138	2005	Apr	RetractionIn
10459577	1999	Aug	18492063	2008	Jul	RetractionIn
10463949	1999	Sep	21357251	2011	Mar	RetractionIn
10490643	1999	Oct	17135280	2006	Dec	PartialRetractionIn
10500217	1999	Sep	11758493	2001	Oct	RetractionIn
10514006	1999	Sep	19382300	2009	Apr	RetractionIn
10518710	1999	Nov	11682139	2001	Dec	RetractionIn
10531671	1999	Oct	11838503	2001	Aug	RetractionIn
10536305	1999	Nov	18492064	2008	Jul	RetractionIn
10548483	1999	Nov	16222765	2005	Oct	RetractionIn
10559146	1999	Nov	14715533	2004	Jan	RetractionIn
10570160	1999	Nov	10836971	2000	Mar	RetractionIn
10590051	1999	Dec	11873810	2001	Feb	RetractionIn
10607850			10979725			RetractionIn
10609942	1999	Dec	18698255	2008	Aug	RetractionIn
10618412	2000	Jan	11331781	2001	May	RetractionIn
10626898	1999	Dec	19378495	2009	Apr	RetractionIn
10642298	2000	Jan	12364364	2002	Oct	RetractionIn
10642299	2000	Jan	12364364	2002	Oct	RetractionIn
10660827	2000	Jan	11560169	2001	Feb	RetractionIn
10666572	1999	Dec	20124703	2010	Feb	RetractionIn
10667788	2000	Jan	12621444	2003	Mar	RetractionIn
10669410	2000	Feb	12416506	2002	Nov	RetractionIn
10698743	2000	Mar	17170272	2006	Dec	RetractionIn
10698946	2000	Mar	12134869	2001	Sep	RetractionIn
