pmid	yearCreated	yearPublished	pmidRetraction	yearRetracted	retractionType
21355427	2011	2010	21542215	2011	RetractionIn
21323727	2011	2011	21521365	2011	RetractionIn
21297532	2011	2011	21336080	2011	RetractionIn
21291296	2011	2011	21591868	2011	RetractionIn
21225599	2011	2011	21374897	2011	RetractionIn
21176917	2011	2011	21520509	2011	RetractionIn
21166349	2010		21608297	2011	RetractionIn
21106792	2011	2011	21525233	2011	RetractionIn
21078266	2010	2010	21563601	2011	RetractionIn
21070227	2011	2010	21462432	2011	RetractionIn
21064188	2011	2010	20027667	2011	RetractionIn
21063496	2010	2010	21475563	2011	RetractionIn
21063492	2010	2010	21475564	2011	RetractionIn
21039783	2010	2010	21218607	2011	RetractionIn
20954671	2010	2010	21323223	2011	RetractionIn
20942877	2010	2010	21314668	2011	RetractionIn
20924196	2011	2010	21196765	2010	RetractionIn
20883167	2010	2010	21319981	2011	RetractionIn
20879978	2010	2010	21319393	2011	RetractionIn
20879957	2010	2010	21126155	2010	RetractionIn
20861846	2010		21552282	2011	RetractionIn
20846133	2010	2010	21108618	2010	RetractionIn
20845913	2010	2010	21110522	2010	RetractionIn
20843327	2010	2010	21176130	2010	RetractionIn
20842514	2010	2010	21107626	2011	RetractionIn
20840810	2010	2010	21081045	2010	RetractionIn
20830559	2010	2010	21409849	2010	RetractionIn
20826636	2010	2010	21372330	2011	RetractionIn
20803348	2010	2010	21104109	2010	RetractionIn
20724916	2010	2010	21282984	2011	RetractionIn
20697107	2010	2010	21135394	2010	RetractionIn
20683741	2010	2010	21110211	2011	RetractionIn
20665787	2010	2010	21337416	2011	RetractionIn
20663162	2010	2010	20707907	2010	RetractionIn
20659467	2010	2010	21265052	2011	RetractionIn
20656892	2010	2010	21368022	2011	RetractionIn
20633622	2010	2010	21516631	2011	RetractionIn
20610538	2010	2010	21270322	2011	RetractionIn
20609054	2010	2010	20857609	2010	RetractionIn
20588141	2010		21192212	2011	RetractionIn
20574642	2010	2010	21442226	2011	RetractionIn
20553821	2010	2010	21682001	2011	RetractionIn
20547538	2010	2011	21474470	2011	RetractionIn
20546843	2010	2010	21462431	2011	RetractionIn
20513558	2010	2010	21702215	2011	RetractionIn
20502687	2010	2010	21151944	2010	RetractionIn
20489582	2010	2010	20966679	2010	RetractionIn
20485002	2010	2010	21471772	2011	RetractionIn
20477499	2010	2009	21473732	2011	RetractionIn
20462659	2010	2010	20964248	2010	RetractionIn
20455114	2010	2010	20686986	2010	RetractionIn
20451373	2010	2010	21465684	2011	RetractionIn
20442581	2010	2010	21124097	2011	RetractionIn
20427961	2010	2010	20527365	2010	RetractionIn
20420460	2010	2009	20420465	2010	RetractionIn
20418299	2010	2010	20664094	2010	RetractionIn
20414325	2010	2010	20953214	2010	RetractionIn
20357676	2010	2010	20697229	2010	RetractionIn
20402872	2010	2010	21182616	2010	RetractionIn
20375226	2010	2010	21411680	2011	RetractionIn
20351245	2010	2010	20616067	2010	RetractionIn
20306608	2010	2010	21361056	2010	RetractionIn
20302847	2010	2010	20799414	2010	PartialRetractionIn
20234302	2010	2010	21273842	2011	RetractionIn
20213454	2010	2010	20661760	2010	RetractionIn
20200778	2010	2010	21298245	2011	RetractionIn
20122184	2010	2010	20482900	2010	RetractionIn
20188284	2010		20188287	2010	RetractionIn
20169619	2010	2010	20432382	2010	RetractionIn
20136543	2010	2010	21303290	2011	RetractionIn
20130482	2010	2010	20921858	2010	RetractionIn
20112019	2010	2010	21318428	2011	RetractionIn
20110993	2010	2010	20944751	2010	RetractionIn
20103540	2010	2010	21106975	2010	RetractionIn
20102336	2010	2010	21348858	2011	RetractionIn
20091744	2010	2010	20380034	2010	RetractionIn
20082444	2010	2010	20641129	2010	RetractionIn
20075728	2010	2010	20592535	2010	RetractionIn
20071663	2010	2010	20574045	2010	RetractionIn
20071605	2010	2010	20921193	2010	RetractionIn
20069325	2010	2010	21120561	2011	RetractionIn
20061557	2010	2010	20574044	2010	RetractionIn
20039489	2009	2009	20043360	2009	RetractionIn
20035226	2010	2010	21389808	2011	RetractionIn
20005630	2010	2010	20737669	2010	RetractionIn
20004514	2010	2010	20737670	2010	RetractionIn
20002437	2011	2009	21355989	2011	RetractionIn
20002225	2010	2010	20936755	2010	RetractionIn
19966658	2009		20305530	2010	RetractionIn
19965658	2010	2009	20220115	2010	RetractionIn
19951606	2009	2009	21542982	2011	RetractionIn
19945381	2009	2009	21029867	2010	RetractionIn
19942059	2009	2010	20626113	2010	RetractionIn
19941472	2010	2010	20726063	2010	RetractionIn
19938021	2010	2010	21170951	2010	RetractionIn
19933356	2010	2010	21527641	2011	RetractionIn
19923501	2009	2009	21106980	2010	RetractionIn
19916619	2009	2009	20515117	2010	RetractionIn
19915821	2010	2010	21052979	2010	RetractionIn
19908618	2009	2009	20460011	2010	RetractionIn
19895380	2009	2009	20158675	2010	RetractionIn
19891753	2010	2009	20377824	2010	RetractionIn
19882364	2010	2010	21104110	2010	RetractionIn
19878337	2010	2009	21046708	2010	RetractionIn
19863197	2009	2009	20001573	2010	RetractionIn
19843519	2009	2009	20617571	2010	RetractionIn
19824623	2010	2009	20000553	2009	RetractionIn
19817692	2009	2009	21166649	2010	RetractionIn
19815770	2009	2009	21071648	2010	RetractionIn
19810061	2011	2009	21170950	2010	RetractionIn
19797727	2010	2010	20139396	2010	RetractionIn
19794843	2009	2009	19816134	2009	RetractionIn
19782726	2009	2009	20626085	2010	RetractionIn
19781102	2009	2009	19828028	2009	RetractionIn
19765096	2009	2009	21526572	2011	RetractionIn
19762904	2009	2009	20682723	2010	RetractionIn
19757704	2009	2009	20535878	2010	RetractionIn
19757023	2010	2010	20628899	2010	RetractionIn
19734285	2010	2010	20068240	2010	RetractionIn
19725757	2010	2009	19916875	2009	RetractionIn
19720939	2009	2009	20194873	2010	RetractionIn
19694877	2009	2009	19821879	2009	RetractionIn
19686832	2009		20891035	2010	RetractionIn
19684320	2010	2010	20068241	2010	RetractionIn
19678640	2009	2009	20961083	2010	RetractionIn
19665971	2009	2009	21074053	2010	RetractionIn
19664125	2009	2009	20402681	2010	RetractionIn
19661499	2010	2010	20068237	2010	RetractionIn
19660498	2009	2009	21500420	2011	RetractionIn
19655975	2009	2009	19791980	2009	RetractionIn
19648113	2009	2009	20617572	2010	RetractionIn
19643896	2010	2010	20068238	2010	RetractionIn
19635619	2009	2009	21553729	2011	RetractionIn
19633587	2009	2009	19915439	2009	RetractionIn
19632515	2009	2009	20684042	2010	RetractionIn
19607689	2009	2009	19818140	2009	RetractionIn
19606044	2009	2009	21540658	2011	RetractionIn
19602735	2009		21287778	2011	RetractionIn
19579217	2009	2009	21225991	2011	RetractionIn
19566363	2009	2009	20217965	2010	RetractionIn
19562870	2009	2008	21180206	2010	RetractionIn
19557557	2010	2009	19842787	2009	RetractionIn
19538383	2009	2009	19703005	2009	RetractionIn
19533144	2009	2009	19774385	2009	RetractionIn
19524249	2009	2009	21553730	2011	RetractionIn
19514790	2009	2009	20973504	2010	RetractionIn
19504437	2009	2009	19806586	2009	RetractionIn
19490015	2009	2009	21089224	2010	RetractionIn
19486219	2010	2009	19740305	2009	RetractionIn
19484686	2009	2009	19718576	2009	RetractionIn
19481479	2009		20506583	2010	PartialRetractionIn
19477244	2009	2009	19941939	2010	RetractionIn
19471880	2009	2009	19557376	2009	RetractionIn
19466811	2009	2009	20420464	2010	RetractionIn
19458470	2009	2009	20052812	2009	RetractionIn
19455077	2009	2009	19859027	2009	PartialRetractionIn
19450708	2010	2010	21174368	2010	RetractionIn
19448401	2009	2009	21430443	2011	RetractionIn
19448213	2009	2009	21106973	2010	RetractionIn
19420896	2009	2009	20458779	2009	RetractionIn
19420794	2009	2009	20086311	2010	RetractionIn
19417521	2009	2009	19422168	2009	RetractionIn
